days_into_year,AL_typical_plus_covid_daily_deaths_per_hundred_thousand,AK_typical_plus_covid_daily_deaths_per_hundred_thousand,AZ_typical_plus_covid_daily_deaths_per_hundred_thousand,AR_typical_plus_covid_daily_deaths_per_hundred_thousand,CA_typical_plus_covid_daily_deaths_per_hundred_thousand,CO_typical_plus_covid_daily_deaths_per_hundred_thousand,CT_typical_plus_covid_daily_deaths_per_hundred_thousand,DE_typical_plus_covid_daily_deaths_per_hundred_thousand,DC_typical_plus_covid_daily_deaths_per_hundred_thousand,FL_typical_plus_covid_daily_deaths_per_hundred_thousand,GA_typical_plus_covid_daily_deaths_per_hundred_thousand,HI_typical_plus_covid_daily_deaths_per_hundred_thousand,ID_typical_plus_covid_daily_deaths_per_hundred_thousand,IL_typical_plus_covid_daily_deaths_per_hundred_thousand,IN_typical_plus_covid_daily_deaths_per_hundred_thousand,IA_typical_plus_covid_daily_deaths_per_hundred_thousand,KS_typical_plus_covid_daily_deaths_per_hundred_thousand,KY_typical_plus_covid_daily_deaths_per_hundred_thousand,LA_typical_plus_covid_daily_deaths_per_hundred_thousand,ME_typical_plus_covid_daily_deaths_per_hundred_thousand,MD_typical_plus_covid_daily_deaths_per_hundred_thousand,MA_typical_plus_covid_daily_deaths_per_hundred_thousand,MI_typical_plus_covid_daily_deaths_per_hundred_thousand,MN_typical_plus_covid_daily_deaths_per_hundred_thousand,MS_typical_plus_covid_daily_deaths_per_hundred_thousand,MO_typical_plus_covid_daily_deaths_per_hundred_thousand,MT_typical_plus_covid_daily_deaths_per_hundred_thousand,NE_typical_plus_covid_daily_deaths_per_hundred_thousand,NV_typical_plus_covid_daily_deaths_per_hundred_thousand,NH_typical_plus_covid_daily_deaths_per_hundred_thousand,NJ_typical_plus_covid_daily_deaths_per_hundred_thousand,NM_typical_plus_covid_daily_deaths_per_hundred_thousand,NY_typical_plus_covid_daily_deaths_per_hundred_thousand,NYC_typical_plus_covid_daily_deaths_per_hundred_thousand,NC_typical_plus_covid_daily_deaths_per_hundred_thousand,ND_typical_plus_covid_daily_deaths_per_hundred_thousand,OH_typical_plus_covid_daily_deaths_per_hundred_thousand,OK_typical_plus_covid_daily_deaths_per_hundred_thousand,OR_typical_plus_covid_daily_deaths_per_hundred_thousand,PA_typical_plus_covid_daily_deaths_per_hundred_thousand,RI_typical_plus_covid_daily_deaths_per_hundred_thousand,SC_typical_plus_covid_daily_deaths_per_hundred_thousand,SD_typical_plus_covid_daily_deaths_per_hundred_thousand,TN_typical_plus_covid_daily_deaths_per_hundred_thousand,TX_typical_plus_covid_daily_deaths_per_hundred_thousand,US_typical_plus_covid_daily_deaths_per_hundred_thousand,UT_typical_plus_covid_daily_deaths_per_hundred_thousand,VT_typical_plus_covid_daily_deaths_per_hundred_thousand,VA_typical_plus_covid_daily_deaths_per_hundred_thousand,WA_typical_plus_covid_daily_deaths_per_hundred_thousand,WV_typical_plus_covid_daily_deaths_per_hundred_thousand,WI_typical_plus_covid_daily_deaths_per_hundred_thousand,WY_typical_plus_covid_daily_deaths_per_hundred_thousand,datetime
217,3.290612365955208,1.5464265880886034,3.110274120168188,2.9801482148476532,2.0810718863208684,1.8689207545957276,2.3539475026211547,2.539561701725821,2.367137988187141,3.4130924954010764,2.5723364709638523,2.0387974598397087,2.4958099088012613,2.243392922777459,2.686437444359461,2.627957588977589,2.3397664066157566,2.8386139273043915,3.2041740333619444,2.9112224752953004,2.268773462976458,2.410675545252694,2.6085558406799954,2.2396496047958236,3.949245025270468,2.7944754819128064,2.8787103542084096,2.3477382997298513,2.7877685495513553,2.565329963965251,2.2540305216453467,2.337758473588391,2.0565449747329034,,2.615834933561395,2.4979840537957982,2.9248713805067683,2.7790373931626844,2.3814548291804916,2.7749979055709715,2.4863357489551796,3.3716579422646182,2.5931852888023452,3.1912097607524945,2.5278773297093116,2.560673143669213,1.7474737758703827,2.4198972786260713,2.327009757603436,2.1280074948435717,3.103645842453892,2.48934956255123,2.090916269930466,2020-08-05
218,3.268719464254116,1.5347632809136995,2.9066256630707477,3.0002061890899245,2.0722293983906868,1.8597046550170946,2.320254850430476,2.587116094276275,2.3630906397582163,3.3254640187430624,2.5872781449105657,2.0540386968714626,2.466217244812852,2.2463516454426102,2.6680070169282604,2.6241516736521366,2.346546942329597,2.8533914260739954,3.229646021747455,2.905358454440642,2.278291755110504,2.4455482177992955,2.6138368670024392,2.2570064543257295,3.8301931122841237,2.8101397656566878,2.83902731818717,2.3363581994930387,2.7167002636839386,2.5467231750239114,2.2510952654523075,2.385404655626014,2.0483275095209885,,2.626574793227623,2.4707606860017886,2.9278640446220265,2.775130246266941,2.3684961977588075,2.8083884667384718,2.515264116175813,3.3775211202877857,2.6632838076838583,3.2376757251808566,2.632251626265923,2.5623442571915334,1.719384974903282,2.4057230275617667,2.351651253183195,2.125131208583712,3.075819334031087,2.51110022887564,2.0990490555062387,2020-08-06
219,3.287826562553024,1.5430999737387954,2.924977205973307,3.000264163332196,2.0903869104605053,1.877488555438461,2.3225621982397975,2.59067048682673,2.379043291329291,3.2748355420850475,2.5972198188572784,2.0892799339032164,2.500624580824444,2.255310368107761,2.647576589497059,2.6063457583266847,2.3683274780434367,2.865168924843598,3.3451180101329667,2.900494433585984,2.2968100472445503,2.4534208903458974,2.6251178933248838,2.264363303855636,3.702141199297779,2.863804049400568,2.8123442821659306,2.332978099256227,2.6546319778165213,2.5171163860825723,2.2541600092592677,2.407050837663637,2.046110044309074,,2.661314652893851,2.462537318207779,2.912856708737285,2.7892230993711986,2.378537566337124,2.818779027905973,2.517192483396448,3.319384298310953,2.700382326565372,3.2081416896092194,2.6266259228225337,2.5650153707138537,1.7172961739361812,2.391548776497463,2.3362927487629532,2.1642549223238525,3.087992825608281,2.52485089520005,2.1311818410820114,2020-08-07
220,3.2219336608519322,1.5514366665638912,2.926328748875867,2.9913221375744676,2.076544422530324,1.8912724558598277,2.3128695460491193,2.667224879377184,2.394995942900367,3.281207065427033,2.589161492803991,2.1245211709349707,2.4710319168360346,2.264269090772912,2.6611461620658585,2.643539843001232,2.375108013757277,2.8859464236132,3.346589998518478,2.9156304127313257,2.2923283393785963,2.4432935628925,2.6043989196473283,2.281720153385542,3.694089286311435,2.8684683331444494,2.8386612461446905,2.3285979990194146,2.760563691949104,2.5095095971412333,2.2522247530662276,2.42769701970126,2.037892579097159,,2.648054512560079,2.4543139504137703,2.901849372852543,2.7783159524754555,2.392578934915441,2.8271695890734736,2.533120850617083,3.3492474763341207,2.6734808454468846,3.198607654037582,2.6120002193791443,2.561686484236174,1.6842073729690799,2.377374525433159,2.285934244342712,2.2013786360639935,3.1161663171854763,2.5296015615244603,2.139314626657784,2020-08-08
221,3.24904075915084,1.5597733593889869,2.9136802917784257,3.1333801118167384,2.067701934600142,1.8870563562811942,2.3031768938584407,2.729779271927639,2.3909485944714417,3.2915785887690183,2.5831031667507047,2.1397624079667246,2.4734392528476263,2.252227813438063,2.6617157346346576,2.6537339276757796,2.3818885494711166,2.8947239223828034,3.342061986903989,2.9207663918766675,2.2868466315126423,2.447166235439102,2.598679945969773,2.2960770029154483,3.76203737332509,2.8961326168883303,2.811978210123451,2.317217898782603,2.777495406081687,2.511902808199894,2.2542894968731884,2.4343432017388826,2.035675113885244,,2.657794372226307,2.4460905826197608,2.8868420369678014,2.7814088055797126,2.392620303493757,2.8295601502409737,2.5350492178377166,3.3581106543572883,2.6625793643283973,3.188073618465944,2.664374515935756,2.5683575977584945,1.6781185720019791,2.3632002743688556,2.297575739922471,2.179502349804134,3.1673398087626703,2.55435222784887,2.1474474122335563,2020-08-09
222,3.3122765240281273,1.5454085910817337,2.8886062901965497,3.117458810233311,2.0776702607675572,1.8938368966565127,2.2711988930869715,2.767469328201686,2.3830225487700973,3.309945445638534,2.6225751854927633,2.1564402396646005,2.5113440599078514,2.241774679735933,2.66156858186699,2.6384463866766805,2.3856314874805977,2.9061964452375064,3.3598622680551147,2.931651092229658,2.273715259787309,2.428166628404876,2.5928487644301197,2.3018478535718403,3.7875679402797533,2.9316856396008744,2.738881536348128,2.3291539767537146,2.721494275166016,2.4535371124707845,2.2423781476492577,2.479716453964281,2.0322037134051723,,2.641049973189533,2.466048995938366,2.880659918903734,2.7893940019175116,2.389312356580302,2.834467334876776,2.476693436934727,3.3538260228266314,2.6715487928332595,3.153836369036093,2.5865349552005323,2.5638443441409873,1.7136984788090883,2.3305035957063787,2.301975682813637,2.1756151979104574,3.20515135063295,2.569705871275887,2.106847355785658,2020-08-10
223,3.352209095884436,1.5629190553333683,2.8452363768337134,3.1098575413930267,2.0730830272855294,1.873859620295716,2.251028424176658,2.7235476307298243,2.422506856480033,3.328887175429478,2.6864907236430797,2.197909435533063,2.4860415835854957,2.244249433159789,2.6852388086600225,2.6238356234759665,2.383527587563167,2.9047785726084387,3.3567212218891127,2.9669094941416283,2.291683704430105,2.4215470553064242,2.579015049922506,2.2958085044522045,3.701514554778141,2.929534098554881,2.7295531108238738,2.346757391552618,2.7418790548054224,2.4485375258032662,2.2412371196695373,2.508991235180421,2.032461563890141,,2.6469368379984184,2.4669521764875455,2.882627088409733,2.778765469725446,2.4172429906523494,2.84592742884067,2.455471276335504,3.3161807071943867,2.695471685622052,3.1624557201134054,2.573854643073016,2.564158309386349,1.7094977544957042,2.3283151289392974,2.284508153208144,2.186903291817863,3.199494498564711,2.550802509616762,2.1353981756238523,2020-08-11
224,3.362540390084813,1.6150267038418438,2.9525757516862177,3.017826990941566,2.0627636906452724,1.8877945705138957,2.263983660828112,2.698589471293469,2.4370315751692884,3.3130636330485834,2.7549435999687697,2.221223616499608,2.440695596826476,2.2243568466871473,2.701268418179337,2.6143491156162613,2.4086955254782723,2.917448433184539,3.369215556643304,2.9481958933823544,2.302351887972949,2.450214320004087,2.578743108722542,2.2894660966075757,3.6554070637407405,2.932148972139043,2.74471383632286,2.3775691694358008,2.683134215514729,2.446071905318013,2.2355041345052715,2.5148436057394554,2.0390947691031385,,2.654086809708473,2.5572521792956397,2.882927099333367,2.745790419571016,2.4218572909752063,2.863662125907764,2.485585321640049,3.2978074073897354,2.6804275522277656,3.1309094756234637,2.615394493310278,2.569019379636801,1.6909043055238446,2.3501238054650164,2.241106488570411,2.185367940621565,3.2840180112508226,2.5226466817551754,2.115496158260478,2020-08-12
225,3.322871684285191,1.648134352350319,2.8729151265387216,3.0527964404901056,2.0574443540050154,1.8837295207320748,2.2529388974795665,2.702631311857113,2.472556293858544,3.3242400906676886,2.8213964762944603,2.234537797466152,2.363349610067456,2.223464260214506,2.731298027698652,2.600862607756556,2.4098634633933775,2.9031182937606395,3.3457098913974948,2.940482292623081,2.2910200715157933,2.4228815847017495,2.563471167522577,2.2651236887629467,3.6432995727033397,2.9087638457232035,2.747874561821845,2.401380947318983,2.795389376224036,2.46460628483276,2.226771149341006,2.47369597629849,2.045727974316135,,2.6492367814185287,2.5905521821037336,2.8812271102570004,2.7448153694165858,2.4444715912980635,2.8433968229748574,2.4876993669445953,3.2614341075850852,2.61738341883348,3.0813632311335226,2.5889343435475407,2.5618804498872527,1.685310856551985,2.3489324819907353,2.2097048239326784,2.189832589425267,3.3205415239369347,2.500490853893589,2.120594140897103,2020-08-13
226,3.262202978485568,1.6812420008587945,2.7832545013912258,3.0407658900386445,2.0721250173647583,1.8716644709502543,2.2378941341310203,2.6626731524207568,2.4460810125477996,3.349416548286794,2.7588493526201505,2.2078519784326973,2.3340036233084365,2.213571673741864,2.730327637217967,2.6003760998968506,2.3870314013084832,2.908788154336739,3.247204226151686,2.932768691863808,2.289688255058638,2.4105488493994125,2.555199226322613,2.250781280918318,3.6691920816659382,2.8733787193073654,2.6700352873208306,2.403192725202166,2.7736445369333422,2.4521406643475068,2.2160381641767404,2.479548346857524,2.0483611795291328,,2.627386753128583,2.6428521849118276,2.8755271211806335,2.7378403192621557,2.4190858916209206,2.861131520041952,2.53081341224914,3.242060807780435,2.5863392854391947,3.053816986643581,2.5974741937848025,2.553741520137705,1.693717407580125,2.3707411585164544,2.184303159294945,2.156297238228969,3.3650650366230463,2.4693350260320015,2.0756921235337287,2020-08-14
