datetime,state,population,log_cumulative_deaths_per_hundred_thousand,log_cumulative_cases_per_hundred_thousand,log_7day_avg_deaths_per_hundred_thousand,log_7day_avg_cases_per_hundred_thousand,cumulative_deaths_per_hundred_thousand,cumulative_cases_per_hundred_thousand,7day_avg_deaths_per_hundred_thousand,7day_avg_cases_per_hundred_thousand
2020-09-08,AK,731545.0,0.7590082440779448,2.9633866584474777,-1.23221783161455,1.0419400176491298,5.741,919.151,0.059,11.014
2020-09-08,AL,4903185.0,1.6668847508783646,3.4353476822079916,-0.6490855945785532,1.2418505026382765,46.439,2724.882,0.224,17.452
2020-09-08,AR,3017804.0,1.48267830582443,3.344805781793726,-0.31195184515467583,1.3961966742938912,30.386,2212.105,0.488,24.9
2020-09-08,AS,0.0,,,,,,,,
2020-09-08,AZ,7278717.0,1.855698859079747,3.451907246031476,-0.4591796077834189,0.8614008379042171,71.73,2830.787,0.347,7.268
2020-09-08,CA,39512223.0,1.5418238408719107,3.271272520156259,-0.5725977845249525,1.0369389418097719,34.82,1867.551,0.268,10.888
2020-09-08,CO,5758736.0,1.5105844699570188,3.01409489803768,-1.3749762880894454,0.7090740185054324,32.403,1032.987,0.042,5.118
2020-09-08,CT,3565287.0,2.0986014841423173,3.1785424527489714,-1.4941025486406065,0.4926691856256382,125.488,1508.49,0.032,3.109
2020-09-08,DC,705749.0,1.9373909387899304,3.308564650938527,-1.0916883201389183,0.8017960260795678,86.575,2035.001,0.081,6.336
2020-09-08,DE,973764.0,1.796163577968646,3.2741871890910326,-1.231491763350524,1.0546277392398387,62.541,1880.127,0.059,11.34
2020-09-08,FL,21477737.0,1.7496107926973872,3.4809863016304,-0.43989391734506866,1.1028540127897468,56.184,3026.818,0.363,12.672
2020-09-08,GA,10617423.0,1.7571695710048518,3.429358756814571,-0.34348725921332385,1.2310763479550813,57.17,2687.564,0.453,17.025
2020-09-08,GU,0.0,,,,,,,,
2020-09-08,HI,1415872.0,0.7834744579225601,2.8471917390499506,-0.7920020506793396,1.1761889351866899,6.074,703.383,0.161,15.003
2020-09-08,IA,3155070.0,1.5728730081391296,3.3407140946158655,-0.5882321835087614,1.3735634638210095,37.4,2191.362,0.258,23.635
2020-09-08,ID,1787065.0,1.3333203803448064,3.2760176006971813,-0.7170271474663452,1.1210344643934964,21.544,1888.068,0.192,13.214
2020-09-08,IL,12671821.0,1.8216986882571329,3.3024748811747324,-0.827363138326764,1.2579166259323113,66.328,2006.665,0.149,18.11
2020-09-08,IN,6732219.0,1.7007584650854932,3.1752161188275885,-0.8407473625001819,1.0967852791132504,50.206,1496.98,0.144,12.496
2020-09-08,KS,2913314.0,1.2213544427428469,3.206915167654093,-0.7184207288471745,1.3241850701777702,16.648,1610.331,0.191,21.095
2020-09-08,KY,4467673.0,1.3486137797885507,3.0768006170845363,-0.8049833385088483,1.1211910537539076,22.316,1193.44,0.157,13.219
2020-09-08,LA,4648794.0,2.0417599796454398,3.5211072402078396,-0.38533354355517613,1.1638893919613365,110.093,3319.764,0.412,14.584
2020-09-08,MA,6892503.0,2.122616745135412,3.2513939546234427,-0.7969842786486995,,132.622,1783.996,0.16,-12.282
2020-09-08,MD,6045680.0,1.7991377207261452,3.2725508694194008,-0.9637853644209048,1.0145341172228954,62.971,1873.056,0.109,10.34
2020-09-08,ME,1344212.0,0.9986370302649924,2.5448296716598207,-1.6725358124500909,0.2439181360998342,9.969,350.614,0.021,1.754
2020-09-08,MI,9986857.0,1.8337820489459344,3.075760328426329,-1.2010741948647439,0.8615077893634193,68.2,1190.585,0.063,7.27
2020-09-08,MN,5639632.0,1.530691167326909,3.160481968443313,-0.9730995157302722,1.124058594674936,33.938,1447.045,0.106,13.306
2020-09-08,MO,6137428.0,1.4323832221286972,3.190253469836721,-0.5431793388975562,1.3380985905192073,27.063,1549.721,0.286,21.782
2020-09-08,MP,0.0,,,,,,,,
2020-09-08,MS,2976149.0,1.9388058771898782,3.4677523999232696,-0.35496488290878464,1.2604590699771592,86.857,2935.975,0.442,18.216
2020-09-08,MT,1068778.0,1.0466594557978652,2.8944083350608385,-0.7278575099306843,1.0665309393236448,11.134,784.167,0.187,11.656
2020-09-08,NC,10488084.0,1.4430475642478697,3.2312703973163246,-0.6404849152875834,1.0985125852904902,27.736,1703.219,0.229,12.546
2020-09-08,ND,762062.0,1.2285994041007084,3.2601487739335946,-0.8819903061985404,1.5452174981892892,16.928,1820.324,0.131,35.093
2020-09-08,NE,1934408.0,1.3198332855079535,3.2694527230059913,-1.2865480796026514,1.095726322672728,20.885,1859.742,0.052,12.466
2020-09-08,NH,1359711.0,1.5030412853674968,2.7412670777719104,-1.9785446510001254,0.31592157516146746,31.845,551.147,0.011,2.07
2020-09-08,NJ,8882190.0,2.255491336478702,3.340153860781732,-1.1601496434174525,0.5286011957368802,180.091,2188.537,0.069,3.378
2020-09-08,NM,2096829.0,1.5853105202722324,3.0958090204024837,-0.7195030231218755,0.7320641271253987,38.487,1246.835,0.191,5.396
2020-09-08,NV,3080156.0,1.6553784037470616,3.3693866453815198,-0.43058076569921516,1.0592019927109206,45.225,2340.92,0.371,11.46
2020-09-08,NY,19453561.0,2.115269997788946,3.355023696003431,-1.5777946503634475,0.570739455080669,130.398,2264.768,0.026,3.722
2020-09-08,OH,11689100.0,1.565485337126229,3.0527665355013287,-0.7890274730763666,0.9552949268161861,36.769,1129.189,0.163,9.022
2020-09-08,OK,3956971.0,1.3340950032852787,3.215904461985857,-0.7892483936426394,1.3098948967355177,21.582,1644.01,0.162,20.412
